time_lsl,BreathingValue
167937.12025038307,821.0
167937.14000401963,822.0
167937.1597576562,821.0
167937.17951129278,819.0
167937.19926492934,815.0
167937.2190185659,808.0
167937.23877220246,803.0
167937.25852583905,800.0
167937.2782794756,803.0
167937.29803311217,813.0
167937.31778674872,827.0
167937.3375403853,842.0
167937.35729402187,853.0
167937.37704765843,859.0
167937.396801295,860.0
167937.41655493155,860.0
167937.43630856814,859.0
167937.4560622047,861.0
167937.47581584126,861.0
167937.49556947782,860.0
167937.5153231144,855.0
167937.53507675097,848.0
167937.55483038753,841.0
167937.57458402409,836.0
167937.59433766067,834.0
167937.61409129723,834.0
167937.6338449338,832.0
167937.65359857035,828.0
167937.67335220694,822.0
167937.6931058435,817.0
167937.71285948006,812.0
167937.73261311662,811.0
167937.75236675318,811.0
167937.77212038977,811.0
167937.79187402633,813.0
167937.8116276629,812.0
167937.83138129945,811.0
167937.85113493603,809.0
167937.8708885726,806.0
167937.89064220915,804.0
167937.9103958457,800.0
167937.9301494823,796.0
167937.94990311886,790.0
167937.96965675542,782.0
167937.98941039198,772.0
167938.00916402854,762.0
167938.02891766513,757.0
167938.0486713017,756.0
167938.06842493825,766.0
167938.0881785748,780.0
167938.1079322114,796.0
167938.12768584795,806.0
167938.1474394845,809.0
167938.16719312107,805.0
167938.18694675766,801.0
167938.20670039422,797.0
167938.22645403078,797.0
167938.24620766734,796.0
167938.2659613039,795.0
167938.2857149405,790.0
167938.30546857705,781.0
167938.3252222136,772.0
167938.34497585017,764.0
167938.36472948676,760.0
167938.38448312331,758.0
167938.40423675987,755.0
167938.42399039643,750.0
167938.44374403302,743.0
167938.46349766958,735.0
167938.48325130614,730.0
167938.5030049427,726.0
167938.5227585793,727.0
167938.54251221585,727.0
167938.5622658524,729.0
167938.58201948897,728.0
167938.60177312553,730.0
167938.62152676212,728.0
167938.64128039868,729.0
167938.66103403523,725.0
167938.6807876718,723.0
167938.70054130838,719.0
167938.72029494494,714.0
167938.7400485815,708.0
167938.75980221806,700.0
167938.77955585465,691.0
167938.7993094912,683.0
167938.81906312777,678.0
167938.83881676433,680.0
167938.8585704009,691.0
167938.87832403748,706.0
167938.89807767404,722.0
167938.9178313106,732.0
167938.93758494715,735.0
167938.95733858374,730.0
167938.9770922203,726.0
167938.99684585686,723.0
167939.01659949342,723.0
167939.03635313,725.0
167939.05610676657,723.0
167939.07586040313,717.0
167939.0956140397,706.0
167939.11536767628,694.0
167939.13512131284,682.0
167939.1548749494,673.0
167939.17462858596,664.0
167939.19438222251,654.0
167939.2141358591,639.0
167939.23388949566,623.0
167939.25364313222,603.0
167939.27339676878,582.0
167939.29315040537,564.0
167939.31290404193,545.0
167939.3326576785,528.0
167939.35241131505,508.0
167939.37216495164,487.0
167939.3919185882,464.0
167939.41167222476,441.0
167939.43142586132,417.0
167939.45117949788,393.0
167939.47093313446,369.0
167939.49068677102,345.0
167939.51044040758,323.0
167939.53019404414,300.0
167939.54994768073,277.0
167939.5697013173,251.0
167939.58945495385,225.0
167939.6092085904,201.0
167939.628962227,181.0
167939.64871586356,170.0
167939.66846950012,162.0
167939.68822313668,155.0
167939.70797677326,141.0
167939.72773040982,120.0
