time_lsl,t_device,x_mG,y_mG,z_mG,device,seq,fs,range_g
222973.39262218386,1756024865.67086,-800,62,484,H10,10,50.0,4
222973.41262218385,1756024865.67086,-807,61,475,H10,10,50.0,4
222973.43262218384,1756024865.67086,-798,54,478,H10,10,50.0,4
222973.45262218386,1756024865.67086,-799,49,479,H10,10,50.0,4
222973.47262218385,1756024865.67086,-798,53,483,H10,10,50.0,4
222973.49262218387,1756024865.67086,-802,54,477,H10,10,50.0,4
222973.51262218386,1756024865.67086,-806,48,469,H10,10,50.0,4
222973.53262218385,1756024865.67086,-796,53,479,H10,10,50.0,4
222973.55262218387,1756024865.67086,-794,57,482,H10,10,50.0,4
222973.57262218386,1756024865.67086,-800,56,476,H10,10,50.0,4
222973.59262218385,1756024865.67086,-805,54,470,H10,10,50.0,4
222973.61262218386,1756024865.67086,-805,49,474,H10,10,50.0,4
222973.63262218385,1756024865.67086,-801,52,479,H10,10,50.0,4
222973.65262218384,1756024865.67086,-799,56,482,H10,10,50.0,4
222973.67262218386,1756024865.67086,-799,59,483,H10,10,50.0,4
222973.69262218385,1756024865.67086,-799,58,482,H10,10,50.0,4
222973.71262218384,1756024865.67086,-799,57,482,H10,10,50.0,4
222973.73262218386,1756024865.67086,-802,59,482,H10,10,50.0,4
222973.75262218385,1756024865.67086,-806,58,480,H10,10,50.0,4
222973.77262218387,1756024865.67086,-812,59,479,H10,10,50.0,4
222973.79262218386,1756024865.67086,-808,62,474,H10,10,50.0,4
222973.81262218385,1756024865.67086,-802,66,472,H10,10,50.0,4
222973.83262218387,1756024865.67086,-796,70,473,H10,10,50.0,4
222973.85262218385,1756024865.67086,-798,70,477,H10,10,50.0,4
222973.87262218384,1756024865.67086,-799,70,477,H10,10,50.0,4
222973.89262218386,1756024865.67086,-802,66,477,H10,10,50.0,4
222973.91262218385,1756024865.67086,-804,64,476,H10,10,50.0,4
222973.93262218384,1756024865.67086,-805,62,475,H10,10,50.0,4
222973.95262218386,1756024865.67086,-803,61,475,H10,10,50.0,4
222973.97262218385,1756024865.67086,-801,61,478,H10,10,50.0,4
222973.99262218387,1756024865.67086,-799,59,480,H10,10,50.0,4
222974.01262218386,1756024865.67086,-798,58,481,H10,10,50.0,4
222974.03262218385,1756024865.67086,-798,56,479,H10,10,50.0,4
222974.05262218387,1756024865.67086,-800,57,479,H10,10,50.0,4
222974.0676676435,1756024866.391058,-801,54,476,H10,11,50.0,4
222974.0876676435,1756024866.391058,-802,53,478,H10,11,50.0,4
222974.10766764352,1756024866.391058,-803,55,478,H10,11,50.0,4
222974.1276676435,1756024866.391058,-802,55,478,H10,11,50.0,4
222974.1476676435,1756024866.391058,-802,58,476,H10,11,50.0,4
222974.16766764352,1756024866.391058,-802,60,475,H10,11,50.0,4
222974.1876676435,1756024866.391058,-801,60,474,H10,11,50.0,4
222974.20766764352,1756024866.391058,-801,61,473,H10,11,50.0,4
222974.2276676435,1756024866.391058,-800,61,476,H10,11,50.0,4
222974.2476676435,1756024866.391058,-798,59,477,H10,11,50.0,4
222974.26766764352,1756024866.391058,-799,61,476,H10,11,50.0,4
222974.2876676435,1756024866.391058,-800,61,478,H10,11,50.0,4
222974.3076676435,1756024866.391058,-801,61,478,H10,11,50.0,4
222974.32766764352,1756024866.391058,-802,63,476,H10,11,50.0,4
222974.3476676435,1756024866.391058,-803,63,476,H10,11,50.0,4
222974.3676676435,1756024866.391058,-801,59,475,H10,11,50.0,4
222974.38766764352,1756024866.391058,-806,62,472,H10,11,50.0,4
222974.4076676435,1756024866.391058,-808,62,464,H10,11,50.0,4
222974.4276676435,1756024866.391058,-796,57,476,H10,11,50.0,4
222974.44766764352,1756024866.391058,-795,53,479,H10,11,50.0,4
222974.4676676435,1756024866.391058,-800,57,480,H10,11,50.0,4
222974.48766764352,1756024866.391058,-807,61,471,H10,11,50.0,4
222974.5076676435,1756024866.391058,-803,58,472,H10,11,50.0,4
222974.5276676435,1756024866.391058,-794,63,482,H10,11,50.0,4
222974.54766764352,1756024866.391058,-797,65,481,H10,11,50.0,4
222974.5676676435,1756024866.391058,-807,61,475,H10,11,50.0,4
222974.5876676435,1756024866.391058,-808,61,471,H10,11,50.0,4
222974.60766764352,1756024866.391058,-803,58,472,H10,11,50.0,4
222974.6276676435,1756024866.391058,-799,57,472,H10,11,50.0,4
222974.6476676435,1756024866.391058,-799,62,477,H10,11,50.0,4
222974.66766764352,1756024866.391058,-800,64,479,H10,11,50.0,4
222974.6876676435,1756024866.391058,-800,64,479,H10,11,50.0,4
222974.70766764352,1756024866.391058,-799,59,476,H10,11,50.0,4
222974.7276676435,1756024866.391058,-803,55,475,H10,11,50.0,4
222974.7476676435,1756024866.391058,-804,49,480,H10,11,50.0,4
222974.76766764352,1756024866.391058,-806,53,475,H10,11,50.0,4
222974.7507257374,1756024867.077568,-802,55,475,H10,12,50.0,4
222974.77072573738,1756024867.077568,-798,58,476,H10,12,50.0,4
222974.7907257374,1756024867.077568,-799,62,475,H10,12,50.0,4
222974.8107257374,1756024867.077568,-799,61,475,H10,12,50.0,4
222974.83072573738,1756024867.077568,-800,59,477,H10,12,50.0,4
222974.8507257374,1756024867.077568,-802,56,477,H10,12,50.0,4
222974.8707257374,1756024867.077568,-804,56,478,H10,12,50.0,4
222974.8907257374,1756024867.077568,-804,57,475,H10,12,50.0,4
