time_lsl,ad
62166.34090565442,715.0
62166.36065661714,713.0
62166.38040757985,714.0
62166.400158542565,714.0
62166.41990950528,713.0
62166.439660468,710.0
62166.45941143071,708.0
62166.47916239343,703.0
62166.49891335615,702.0
62166.51866431886,699.0
62166.538415281575,699.0
62166.55816624429,701.0
62166.577917207,703.0
62166.59766816972,706.0
62166.61741913244,707.0
62166.63717009515,706.0
62166.65692105787,702.0
62166.676672020585,696.0
62166.696422983296,692.0
62166.71617394601,685.0
62166.73592490873,679.0
62166.75567587144,673.0
62166.77542683416,662.0
62166.79517779688,653.0
62166.81492875959,644.0
62166.834679722306,643.0
62166.85443068502,649.0
62166.87418164774,663.0
62166.89393261045,677.0
62166.91368357317,688.0
62166.93343453589,692.0
62166.9531854986,690.0
62166.972936461316,686.0
62166.992687424034,681.0
62167.012438386744,678.0
62167.03218934946,677.0
62167.05194031218,678.0
62167.07169127489,678.0
62167.09144223761,676.0
62167.111193200326,673.0
62167.13094416304,670.0
62167.150695125754,670.0
62167.17044608847,669.0
62167.19019705118,669.0
62167.2099480139,668.0
62167.22969897662,664.0
62167.24944993933,662.0
62167.26920090205,656.0
62167.288951864764,654.0
62167.30870282748,651.0
62167.32845379019,651.0
62167.34820475291,653.0
62167.36795571563,655.0
62167.38770667834,656.0
62167.40745764106,657.0
62167.427208603774,654.0
62167.446959566485,651.0
62167.4667105292,645.0
62167.48646149192,639.0
62167.50621245463,632.0
62167.52596341735,626.0
62167.54571438007,617.0
62167.56546534278,609.0
62167.585216305495,595.0
62167.60496726821,581.0
62167.62471823092,569.0
62167.64446919364,564.0
62167.66422015636,567.0
62167.68397111908,570.0
62167.70372208179,572.0
62167.723473044505,563.0
62167.74322400722,545.0
62167.76297496993,523.0
62167.78272593265,499.0
62167.80247689537,481.0
62167.82222785808,466.0
62167.8419788208,455.0
62167.861729783515,444.0
62167.881480746226,432.0
62167.901231708944,416.0
62167.92098267166,401.0
62167.94073363437,385.0
62167.96048459709,372.0
62167.98023555981,358.0
62167.99998652252,343.0
62168.019737485236,329.0
62168.039488447954,315.0
62168.059239410664,300.0
62168.07899037338,289.0
62168.0987413361,277.0
62168.11849229882,265.0
62168.13824326153,254.0
62168.157994224246,239.0
62168.177745186964,225.0
62168.197496149674,208.0
62168.21724711239,190.0
62168.23699807511,171.0
