time_lsl,x_mG,y_mG,z_mG
774261.4202640826,812.0,-541.0,-7.0
774261.4399485273,812.0,-543.0,-9.0
774261.4596329718,815.0,-539.0,-4.0
774261.4793174164,808.0,-534.0,-5.0
774261.499001861,810.0,-540.0,-4.0
774261.5186863056,810.0,-544.0,-4.0
774261.5383707501,818.0,-548.0,-3.0
774261.5580551948,815.0,-542.0,-4.0
774261.5777396393,815.0,-542.0,-7.0
774261.597424084,810.0,-536.0,-8.0
774261.6171085285,810.0,-539.0,-5.0
774261.636792973,811.0,-544.0,-3.0
774261.6564774177,814.0,-547.0,1.0
774261.6761618622,809.0,-538.0,-8.0
774261.6958463069,812.0,-539.0,-4.0
774261.7155307514,815.0,-543.0,-9.0
774261.735215196,813.0,-541.0,-5.0
774261.7548996406,814.0,-542.0,-7.0
774261.7745840852,816.0,-540.0,-7.0
774261.7942685297,813.0,-539.0,-5.0
774261.8139529744,811.0,-543.0,-8.0
774261.8336374189,812.0,-545.0,-5.0
774261.8533218636,812.0,-543.0,-5.0
774261.8730063081,816.0,-544.0,-4.0
774261.8926907527,813.0,-544.0,-8.0
774261.9123751973,817.0,-543.0,-6.0
774261.9320596418,811.0,-542.0,-7.0
774261.9517440865,812.0,-540.0,-4.0
774261.971428531,816.0,-545.0,-6.0
774261.9911129756,815.0,-538.0,-8.0
774262.0107974202,811.0,-544.0,-6.0
774262.0304818648,814.0,-540.0,-8.0
774262.0501663093,812.0,-542.0,-6.0
774262.069850754,810.0,-540.0,-4.0
774262.0895351985,806.0,-541.0,-5.0
774262.1092196432,814.0,-545.0,-8.0
774262.1289040877,817.0,-545.0,0.0
774262.1485885323,819.0,-545.0,-8.0
774262.1682729769,815.0,-541.0,-12.0
774262.1879574215,811.0,-543.0,-11.0
774262.207641866,809.0,-541.0,-8.0
774262.2273263106,812.0,-544.0,-4.0
774262.2470107552,810.0,-548.0,-5.0
774262.2666951998,814.0,-550.0,-6.0
774262.2863796444,814.0,-543.0,-6.0
774262.306064089,817.0,-542.0,-9.0
