time_lsl,ch1,ch2,ch3,ch4
567063.9639356931,403688.0,438791.0,454720.0,174555.0
567063.9822615853,403913.0,439111.0,455011.0,174581.0
567064.0005874773,404076.0,439360.0,455244.0,174555.0
567064.0189133694,404345.0,439697.0,455532.0,174576.0
567064.0372392614,404527.0,439911.0,455853.0,174571.0
567064.0555651535,404736.0,440128.0,456077.0,174574.0
567064.0738910455,404740.0,440267.0,456171.0,174553.0
567064.0922169377,404700.0,440166.0,456022.0,174502.0
567064.1105428297,404428.0,439809.0,455609.0,174527.0
567064.1288687218,403992.0,439172.0,455071.0,174546.0
567064.1471946138,403462.0,438542.0,454370.0,174528.0
567064.1655205059,402908.0,437776.0,453751.0,174510.0
567064.183846398,402394.0,437096.0,453092.0,174522.0
567064.2021722901,401756.0,436392.0,452339.0,174527.0
567064.2204981821,401273.0,435675.0,451741.0,174530.0
567064.2388240742,400868.0,435029.0,451151.0,174516.0
567064.2571499662,400398.0,434492.0,450651.0,174515.0
567064.2754758582,400045.0,433957.0,450152.0,174467.0
567064.2938017504,399802.0,433656.0,449833.0,174554.0
567064.3121276424,399617.0,433394.0,449600.0,174526.0
567064.3304535345,399561.0,433322.0,449550.0,174498.0
567064.3487794265,399640.0,433375.0,449633.0,174567.0
567064.3671053186,399732.0,433445.0,449682.0,174555.0
567064.3854312106,399787.0,433502.0,449726.0,174534.0
567064.4037571028,399846.0,433549.0,449821.0,174544.0
567064.4220829948,399933.0,433607.0,449844.0,174560.0
567064.4404088869,400008.0,433697.0,449940.0,174542.0
567064.4587347789,400066.0,433780.0,450057.0,174493.0
567064.477060671,400170.0,433920.0,450198.0,174511.0
567064.495386563,400315.0,434055.0,450323.0,174530.0
567064.5137124552,400425.0,434228.0,450484.0,174517.0
567064.5320383472,400498.0,434406.0,450576.0,174449.0
567064.5503642393,400693.0,434660.0,450838.0,174529.0
567064.5686901313,400824.0,434820.0,451035.0,174566.0
567064.5870160233,400953.0,434992.0,451191.0,174539.0
567064.6053419154,401057.0,435148.0,451328.0,174493.0
567064.6236678076,401300.0,435376.0,451548.0,174491.0
567064.6419936996,401450.0,435550.0,451746.0,174474.0
567064.6603195916,401672.0,435768.0,451958.0,174504.0
567064.6786454837,401749.0,436030.0,452167.0,174472.0
567064.6969713757,401916.0,436152.0,452376.0,174455.0
567064.7152972678,402135.0,436420.0,452630.0,174483.0
567064.7336231599,402271.0,436635.0,452823.0,174451.0
567064.751949052,402473.0,436797.0,453031.0,174492.0
567064.770274944,402593.0,437044.0,453192.0,174485.0
567064.7886008361,402703.0,437222.0,453374.0,174477.0
567064.8069267281,402874.0,437377.0,453568.0,174440.0
567064.8252526202,403033.0,437614.0,453765.0,174465.0
567064.8435785123,403167.0,437760.0,453907.0,174481.0
