time_lsl,x_mG,y_mG,z_mG
774275.1491827338,-933.0,-20.0,178.0
774275.1689429551,-933.0,-20.0,177.0
774275.1887031762,-933.0,-21.0,177.0
774275.2084633975,-933.0,-20.0,177.0
774275.2282236187,-934.0,-19.0,175.0
774275.24798384,-933.0,-19.0,173.0
774275.2677440611,-933.0,-20.0,175.0
774275.2875042823,-933.0,-21.0,178.0
774275.3072645036,-933.0,-19.0,177.0
774275.3270247248,-933.0,-18.0,180.0
774275.3467849459,-934.0,-18.0,180.0
774275.3665451672,-933.0,-19.0,177.0
774275.3863053884,-932.0,-19.0,178.0
774275.4060656095,-932.0,-18.0,180.0
774275.4258258308,-936.0,-19.0,175.0
774275.445586052,-935.0,-21.0,170.0
774275.4653462733,-930.0,-22.0,185.0
774275.4851064944,-933.0,-20.0,181.0
774275.5048667156,-935.0,-20.0,173.0
774275.5246269369,-932.0,-20.0,167.0
774275.544387158,-931.0,-17.0,179.0
774275.5641473792,-935.0,-17.0,178.0
774275.5839076005,-938.0,-19.0,175.0
774275.6036678217,-934.0,-21.0,176.0
774275.6234280429,-930.0,-20.0,178.0
774275.6431882641,-930.0,-19.0,178.0
774275.6629484853,-933.0,-18.0,176.0
774275.6827087066,-933.0,-18.0,176.0
774275.7024689277,-933.0,-18.0,176.0
774275.722229149,-933.0,-18.0,176.0
774275.7419893702,-933.0,-19.0,178.0
774275.7617495913,-933.0,-19.0,177.0
774275.7815098126,-934.0,-19.0,181.0
774275.8012700338,-933.0,-20.0,182.0
774275.821030255,-933.0,-19.0,183.0
774275.8407904762,-934.0,-20.0,179.0
774275.8605506974,-933.0,-19.0,175.0
774275.8803109187,-932.0,-19.0,174.0
774275.9000711399,-931.0,-19.0,178.0
774275.919831361,-933.0,-20.0,174.0
774275.9395915823,-934.0,-18.0,171.0
774275.9593518035,-934.0,-19.0,172.0
774275.9791120247,-934.0,-20.0,175.0
774275.9988722459,-933.0,-19.0,178.0
774276.0186324671,-934.0,-19.0,175.0
774276.0383926884,-934.0,-19.0,175.0
774276.0581529095,-933.0,-19.0,175.0
774276.0779131307,-932.0,-19.0,176.0
774276.097673352,-934.0,-18.0,175.0
774276.1174335732,-934.0,-18.0,175.0
774276.1371937944,-933.0,-19.0,177.0
774276.1569540156,-933.0,-19.0,179.0
774276.1767142368,-933.0,-19.0,180.0
774276.196474458,-934.0,-19.0,182.0
774276.2162346792,-933.0,-18.0,179.0
774276.2359949005,-933.0,-18.0,176.0
